COD_ETU,CNE,Note : TLGE3104,Résultat : TLGE3104,Session : TLGE3104,Année : TLGE3104,Note : TLGE3204,Résultat : TLGE3204,Session : TLGE3204,Année : TLGE3204,Note : TLGE3304,Résultat : TLGE3304,Session : TLGE3304,Année : TLGE3304,Note : TLGE3404,Résultat : TLGE3404,Session : TLGE3404,Année : TLGE3404,Note : TLGE3504,Résultat : TLGE3504,Session : TLGE3504,Année : TLGE3504,Note : TLGE3604,Résultat : TLGE3604,Session : TLGE3604,Année : TLGE3604,Note : TLGE3004,Résultat : TLGE3004,Session : TLGE3004,Année : TLGE3004,Note : TLGE4104,Résultat : TLGE4104,Session : TLGE4104,Année : TLGE4104,Note : TLGE4204,Résultat : TLGE4204,Session : TLGE4204,Année : TLGE4204,Note : TLGE4304,Résultat : TLGE4304,Session : TLGE4304,Année : TLGE4304,Note : TLGE4404,Résultat : TLGE4404,Session : TLGE4404,Année : TLGE4404,Note : TLGE4504,Résultat : TLGE4504,Session : TLGE4504,Année : TLGE4504,Note : TLGE4604,Résultat : TLGE4604,Session : TLGE4604,Année : TLGE4604,Note : TLGE4004,Résultat : TLGE4004,Session : TLGE4004,Année : TLGE4004,Note : TLMP140C,Résultat : TLMP140C,Session : TLMP140C,Année : TLMP140C,Note : TLMP240C,Résultat : TLMP240C,Session : TLMP240C,Année : TLMP240C
12011281,1210322539,10,V,2,2013,7,AC,2,2014,8.5,AC,2,2014,10,V,2,2013,10,V,1,2013,14.7,V,1,2014,11.317,V,2,2014,7.9,AC,2,2015,8.5,AC,2,2015,12.1,V,1,2014,16.5,V,1,2014,15.25,V,1,2014,10,V,1,2015,11.708,V,2,2015,,,,,,,,
12011289,1210713927,,,,,,,,,,,,,10,V,1,2014,,,,,12.525,V,1,2014,,,1,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12011305,1129692143,,,,,,,,,,,,,0,NRA,1,2015,,,,,12.5,V,1,2014,,,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,,,,,,,,,,,1,2015,,,,,,,,
12011306,1210709385,7,AC,2,2015,7.8,AC,2,2015,10,V,1,2015,16.1,V,1,2014,10,V,2,2015,12.25,V,1,2014,10.525,V,2,2015,8.75,AC,2,2015,10,V,2,2015,11.8,V,1,2014,11,V,1,2015,11.5,V,1,2014,10,V,1,2015,10.508,V,2,2015,,,,,,,,
12011309,1210252775,8,NV,2,2015,7.65,NV,2,2015,2.8,NRA,1,2015,11,V,1,2013,11.375,V,1,2014,13.15,V,1,2014,8.996,NV,2,2015,3.375,NRA,1,2015,10,V,2,2015,10,V,2,2014,16.5,V,1,2015,10.25,V,1,2014,7.7,NV,2,2015,9.638,NV,2,2015,,,,,,,,
12011317,1229360680,0,NRA,1,2015,,,,,,,,,0,NRA,1,2015,,,,,13.075,V,1,2014,,,1,2015,,,,,,,,,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
12011363,1210371211,9,AC,2,2014,8.05,AC,2,2014,7,AC,2,2014,13.7,V,1,2014,9.2,AC,2,2014,15.225,V,1,2014,10.363,V,2,2014,10.35,V,1,2015,11.3,V,1,2014,10,V,2,2014,14.1,V,1,2014,12,V,1,2014,9,AC,2,2015,11.125,V,2,2015,,,,,,,,
12011394,1210730867,,,,,,,,,,,,,13.4,V,1,2014,,,,,14,V,1,2014,,,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
12011399,1210928962,8,NV,2,2015,7.95,NV,2,2015,3.6,NRA,1,2015,13.8,V,1,2014,9.2,NV,2,2015,13,V,1,2014,9.258,NV,2,2015,,,,,1.95,NRA,1,2015,,,,,14.7,V,1,2014,5.2,NV,2,2015,3.5,NRA,1,2015,,,1,2015,,,,,,,,
12011403,1210884934,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NV,2,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NV,2,2015,,,,,,,,
